# t Temp Pres Epot Etot
37.750000 2.005464 2.890787 -1125.174539 -355.076334
37.800000 1.992975 3.294498 -1096.330090 -331.027601
37.850000 2.002135 3.274998 -1094.121898 -325.302197
37.900000 2.002662 3.266287 -1092.354772 -323.332520
37.950000 1.988123 2.822114 -1125.298641 -361.859556
38.000000 2.002586 3.213729 -1094.451677 -325.458815
38.050000 1.996808 3.450914 -1072.989664 -306.215226
38.100000 2.016570 2.648755 -1134.433454 -360.070763
38.150000 2.001513 3.207058 -1098.141647 -329.560526
38.200000 2.015700 3.111318 -1106.080308 -332.051554
38.250000 2.004525 2.471525 -1145.776468 -376.038811
38.300000 1.989761 3.024913 -1101.919617 -337.851552
38.350000 2.016326 2.730584 -1125.609225 -351.340026
38.400000 2.002910 2.730909 -1123.724407 -354.606995
38.450000 1.963131 3.537892 -1067.699488 -313.857221
38.500000 2.021961 3.898522 -1052.074885 -275.642011
38.550000 1.988354 2.919535 -1117.058867 -353.530775
38.600000 2.021704 3.132652 -1093.195978 -316.861492
38.650000 1.977890 2.519655 -1131.911907 -372.402208
38.700000 1.977317 3.183417 -1089.501021 -330.211472
38.750000 1.997620 3.570244 -1066.862452 -299.776417
38.800000 2.023971 3.118853 -1096.267168 -319.062198
38.850000 2.008929 3.336013 -1071.545807 -300.117120
38.900000 1.993967 2.895150 -1106.290227 -340.606949
38.950000 2.001080 2.929520 -1102.453359 -334.038708
39.000000 1.999987 3.291571 -1079.909809 -311.914674
39.050000 2.008791 3.349313 -1083.813442 -312.437748
39.100000 2.007329 3.253179 -1085.489249 -314.674931
39.150000 2.003717 2.914241 -1098.427605 -329.000179
39.200000 1.997697 2.514036 -1132.270432 -365.154973
39.250000 2.013303 2.761868 -1115.642499 -342.534120
39.300000 1.977811 2.372129 -1143.722065 -384.242596
39.350000 1.994999 2.654907 -1119.966380 -353.886803
39.400000 1.999972 2.420406 -1135.706181 -367.716758
39.450000 1.981475 2.795020 -1112.382116 -351.495767
39.500000 2.015029 2.823913 -1111.918030 -338.146911
39.550000 1.993792 2.851868 -1107.263127 -341.647128
39.600000 1.990582 2.820026 -1110.372548 -345.989062
39.650000 2.016242 2.902082 -1110.362824 -336.125966
39.700000 2.011364 2.598909 -1135.927257 -363.563506
39.750000 1.982686 3.098472 -1101.907060 -340.555605
39.800000 2.004382 3.156856 -1095.080221 -325.397525
39.850000 2.004030 3.022305 -1098.490682 -328.943164
39.900000 1.987320 2.969138 -1106.427116 -343.296334
39.950000 1.980515 3.267490 -1088.650754 -328.133161
40.000000 1.994792 2.977461 -1105.159367 -339.159147
40.050000 2.004173 2.926251 -1107.359856 -337.757609
40.100000 2.002198 3.415629 -1078.522996 -309.678869
40.150000 2.014449 3.424663 -1080.576457 -307.027994
40.200000 1.983391 2.960054 -1112.727410 -351.105416
40.250000 1.992117 3.286871 -1089.577145 -324.604172
40.300000 1.992246 3.826463 -1047.139909 -282.117300
40.350000 2.011405 3.354069 -1077.994622 -305.615053
40.400000 1.999950 2.926670 -1100.627843 -332.646865
40.450000 1.991978 2.719127 -1114.378860 -349.459434
40.500000 2.009823 2.557283 -1128.989215 -357.216996
40.550000 2.002881 2.927406 -1109.397131 -340.290872
40.600000 1.997568 3.403849 -1083.390125 -316.323979
40.650000 2.013715 2.742472 -1132.886093 -359.619483
40.700000 1.979895 3.331883 -1087.232782 -326.953164
40.750000 2.005948 3.385246 -1090.131216 -319.847192
40.800000 1.995783 3.284018 -1092.138670 -325.757967
40.850000 2.003929 3.147877 -1094.354450 -324.845634
